Roulette value,Correct probability,Fixed probability 1,Fixed probability 2,Fixed probability 3,Fixed probability 4
0,0.02702702702702703,0.026563106410088726,0.031153308178529158,0.031261618551988855,0.024219990162517763
1,0.02702702702702703,0.027296306693748603,0.019529342267570658,0.026771865765212698,0.030584019221067887
2,0.02702702702702703,0.026850237616804856,0.026368275313337027,0.027433015666281278,0.03128193254871476
3,0.02702702702702703,0.02715994537931324,0.026829528351042062,0.02800331113544475,0.024155585496069942
4,0.02702702702702703,0.027311589299998305,0.027480851978947632,0.026302141551779894,0.028962949058854826
5,0.02702702702702703,0.028545543281496968,0.025957955895216867,0.033680005083980835,0.04046162138595154
6,0.02702702702702703,0.027353156083431487,0.026734637650699843,0.022755243116821817,0.02494078940114546
7,0.02702702702702703,0.025570920106944003,0.02923648688062917,0.017322208384940765,0.03003584602900858
8,0.02702702702702703,0.027801905346386453,0.027668722450674726,0.021155148931340094,0.023994459628002104
9,0.02702702702702703,0.027004531169534485,0.031722984521785465,0.022348718178671737,0.027077036959912485
10,0.02702702702702703,0.027292212949733118,0.028065828098658346,0.030164473953563448,0.026851211906983856
11,0.02702702702702703,0.026215318929047424,0.023906554094785072,0.03127003398754177,0.02342630250428299
12,0.02702702702702703,0.02741436189915428,0.027566514209713847,0.021834353795264445,0.02926082176723684
13,0.02702702702702703,0.027005376202540423,0.03128838986772191,0.02797811439369647,0.023074014115950132
14,0.02702702702702703,0.02502580261715742,0.028965101400463777,0.029054245709156813,0.024453139096900695
15,0.02702702702702703,0.026755055717101708,0.02298373206667405,0.02210167317264548,0.03502353895911149
16,0.02702702702702703,0.02626884344991029,0.02689023825370493,0.03001496645314354,0.028603122917514996
17,0.02702702702702703,0.02725763080704967,0.027879587112156184,0.026776577325858444,0.028942695930648535
18,0.02702702702702703,0.02959943614130546,0.021742966791054433,0.031124334495688258,0.02524494288503309
19,0.02702702702702703,0.02670905323625574,0.023696354812483465,0.032625708329221216,0.01671438787337785
20,0.02702702702702703,0.0305421140252906,0.02271655439464675,0.02786856588076734,0.02710887629637145
21,0.02702702702702703,0.027270084168687245,0.030301194060144664,0.024111869002755602,0.01737878842546129
22,0.02702702702702703,0.026001479673996932,0.028719977817239135,0.031288542666480866,0.022518019829835242
23,0.02702702702702703,0.02594554942055068,0.028739076000927503,0.02641242047833045,0.02849963601854046
24,0.02702702702702703,0.0267871456468844,0.025336834342069615,0.021797244318721577,0.02922638150978884
25,0.02702702702702703,0.02712074941290458,0.023626896768192112,0.02723619268397323,0.026389425659484995
26,0.02702702702702703,0.02529827053765734,0.02817613036687169,0.025988580211295423,0.021105205521162577
27,0.02702702702702703,0.025610455026758377,0.027333368896148742,0.031937387321820686,0.023512929119166304
28,0.02702702702702703,0.02846150574560695,0.025241841940279227,0.026310772246997523,0.02594238622092754
29,0.02702702702702703,0.026697630944793393,0.029250670463319677,0.02855474389317144,0.021237291018912197
30,0.02702702702702703,0.0255909380443695,0.023984564176647943,0.028579584222211536,0.022157041475969103
31,0.02702702702702703,0.02897900563883305,0.03416205255294287,0.025197776484271742,0.03393658648071445
32,0.02702702702702703,0.0263404049404995,0.024449792504585073,0.02880913032409569,0.03255611614984796
33,0.02702702702702703,0.025371350749431195,0.026687625957341705,0.022797784786146722,0.03127734111636273
34,0.02702702702702703,0.029932854667891588,0.027454519094353303,0.02089091513126166,0.03690190994053772
35,0.02702702702702703,0.028890247984269233,0.03255156913507725,0.034554231501252385,0.028646083927358394
36,0.02702702702702703,0.02415988003457276,0.02559997133336392,0.027686500864203732,0.024297573441272934
